,bangkal,bel-air,carmona,cembo,comembo,dasmarinas,eastrembo,forbespark,guadalupenuevo,guadalupeviejo,kasilawan,lapaz,magallanes,olympia,palanan,pembo,pinagkaisahan,piodelpilar,pitogo,poblacion,postpropernorth,postpropersouth,rizal,sanantonio,sanisidro,sanlorenzo,santacruz,singkamas,southcembo,tejeros,urdaneta,valenzuela,westrembo
2005,130,3,126,1806,12,120,205,2,89,398,8,98,108,4,23,3725,29,456,4210,2016,25,102,246,12,81,423,129,716,5968,1335,12,89,456
2006,1335,12,156,2016,25,102,246,12,81,423,12,101,100,6,26,4120,67,466,4653,2158,41,184,1335,12,156,460,149,824,6509,1389,19,81,466
2007,1389,19,102,2158,41,184,489,15,102,460,11,109,256,7,43,4752,93,540,5385,129,716,5968,1389,19,102,752,200,996,9726,1483,31,102,540
2008,1483,31,178,2269,60,231,652,19,124,489,14,126,230,5,57,5123,129,716,5968,149,824,6509,1483,31,178,97,165,1164,10383,1923,54,124,716
2009,1923,54,198,2158,49,270,589,21,145,501,16,133,365,9,78,5536,149,824,6509,200,996,9726,1923,54,198,120,251,1308,12214,2689,86,145,824
2010,2689,86,221,3971,66,358,830,17,180,651,19,156,389,12,81,8530,200,996,9726,165,1164,10383,2689,86,221,270,589,21,1244,2105,21,180,996
2011,2105,21,208,4511,87,510,1204,25,210,760,21,148,474,11,88,9054,165,1164,10383,251,1308,12214,2105,21,208,358,830,17,23,452,324,210,1164
2012,3223,90,320,4209,102,489,1620,23,255,812,22,152,791,14,92,10655,251,1308,12214,270,589,21,253,643,523,510,1204,25,5645,435,454,255,1308
2013,1483,31,178,2269,60,231,652,19,124,489,14,126,230,5,57,5123,129,716,5968,358,830,17,879,345,658,489,1620,23,982,673,456,124,716
2014,2689,86,221,3971,66,358,830,17,180,651,19,156,389,12,81,8530,200,996,9726,510,1204,25,768,768,816,231,652,19,432,268,234,180,996
2015,1335,12,156,2016,25,102,246,12,81,423,12,101,100,6,26,4120,67,466,4653,489,1620,23,54,34,456,358,830,17,435,456,234,81,466
2016,1389,19,102,2158,41,184,489,15,102,460,11,109,256,7,43,4752,93,540,5385,231,652,19,456,768,783,102,246,12,5435,546,546,102,540
2017,1483,31,178,2269,60,231,652,19,124,489,14,126,230,5,57,5123,129,716,5968,358,830,17,45,435,435,34,678,324,786,56,879,124,716
2018,3223,90,320,4209,102,489,1620,23,255,812,22,152,791,14,92,10655,251,1308,12214,270,589,21,253,643,523,510,1204,25,5645,435,454,255,1308
2019,1483,31,178,2269,60,231,652,19,124,489,14,126,230,5,57,5123,129,716,5968,358,830,17,879,345,658,489,1620,23,982,673,456,124,716
2020,1483,31,178,2269,60,231,652,19,124,489,14,126,230,5,57,5123,129,716,5968,358,830,17,879,345,658,489,1620,23,982,673,456,124,716
2021,2202,53,218,3026,76,321,961,22,166,600,17,137,403,8,71,7056,175,914,8145,-10,1075,-716,368,616,783,331,1477,-256,51,85,650,166,914
2022,2248,54,222,3055,78,327,988,22,168,606,17,139,412,8,72,7151,180,928,8259,-72,1106,-1133,297,655,826,329,1562,-326,-438,-19,692,168,928
2023,2295,55,225,3083,80,333,1016,23,171,612,18,140,422,8,73,7246,184,943,8372,-134,1137,-1550,225,694,869,326,1648,-397,-927,-124,734,171,943
2024,2342,57,229,3112,82,339,1043,23,173,618,18,141,431,8,75,7340,188,957,8486,-196,1167,-1967,154,733,912,323,1733,-468,-1417,-228,776,173,957
2025,2389,58,232,3141,84,345,1071,24,176,624,18,142,440,8,76,7435,193,972,8599,-258,1198,-2384,82,772,955,320,1819,-539,-1906,-333,817,176,972
2026,2436,60,236,3169,87,351,1098,24,178,630,18,143,450,9,77,7529,197,986,8712,-320,1228,-2802,10,811,999,317,1905,-610,-2396,-438,859,178,986
2027,2483,61,239,3198,89,358,1126,25,181,635,18,144,459,9,79,7624,201,1001,8826,-382,1259,-3219,-61,850,1042,314,1990,-680,-2885,-542,901,181,1001
2028,2530,63,243,3227,91,364,1153,25,184,641,19,145,469,9,80,7718,206,1015,8939,-444,1289,-3636,-133,889,1085,311,2076,-751,-3375,-647,943,184,1015
