,bangkal,bel-air,carmona,cembo,comembo,dasmarinas,eastrembo,forbespark,guadalupenuevo,guadalupeviejo,kasilawan,lapaz,magallanes,olympia,palanan,pembo,pinagkaisahan,piodelpilar,pitogo,poblacion,postpropernorth,postpropersouth,rizal,sanantonio,sanisidro,sanlorenzo,santacruz,singkamas,southcembo,tejeros,urdaneta,valenzuela,westrembo
2005.0,1923.0,54.0,198.0,2158.0,49.0,270.0,589.0,21.0,145.0,501.0,16.0,133.0,365.0,9.0,78.0,5536.0,149.0,824.0,6509.0,200.0,996.0,9726.0,1923.0,54.0,198.0,120.0,251.0,1308.0,12214.0,2689.0,86.0,221.0,251.0
2006.0,1335.0,12.0,156.0,2016.0,25.0,102.0,246.0,12.0,81.0,423.0,12.0,101.0,100.0,6.0,26.0,4120.0,67.0,466.0,4653.0,2158.0,41.0,184.0,1335.0,12.0,156.0,460.0,149.0,824.0,6509.0,1389.0,19.0,102.0,149.0
2007.0,1389.0,19.0,102.0,2158.0,41.0,184.0,489.0,15.0,102.0,460.0,11.0,109.0,256.0,7.0,43.0,4752.0,93.0,540.0,5385.0,129.0,716.0,5968.0,1389.0,19.0,102.0,752.0,200.0,996.0,9726.0,1483.0,31.0,178.0,200.0
2008.0,1483.0,31.0,178.0,2269.0,60.0,231.0,652.0,19.0,124.0,489.0,14.0,126.0,230.0,5.0,57.0,5123.0,129.0,716.0,5968.0,149.0,824.0,6509.0,1483.0,31.0,178.0,97.0,165.0,1164.0,10383.0,1923.0,54.0,198.0,165.0
2009.0,1923.0,54.0,198.0,2158.0,49.0,270.0,589.0,21.0,145.0,501.0,16.0,133.0,365.0,9.0,78.0,5536.0,149.0,824.0,6509.0,200.0,996.0,9726.0,1923.0,54.0,198.0,120.0,251.0,1308.0,12214.0,2689.0,86.0,221.0,251.0
2010.0,2689.0,86.0,221.0,3971.0,66.0,358.0,830.0,17.0,180.0,651.0,19.0,156.0,389.0,12.0,81.0,8530.0,200.0,996.0,9726.0,165.0,1164.0,10383.0,2689.0,86.0,221.0,270.0,589.0,21.0,1244.0,2105.0,21.0,208.0,589.0
2011.0,2105.0,21.0,208.0,4511.0,87.0,510.0,1204.0,25.0,210.0,760.0,21.0,148.0,474.0,11.0,88.0,9054.0,165.0,1164.0,10383.0,251.0,1308.0,12214.0,2105.0,21.0,208.0,358.0,830.0,17.0,23.0,452.0,324.0,234.0,830.0
2012.0,3223.0,90.0,320.0,4209.0,102.0,489.0,1620.0,23.0,255.0,812.0,22.0,152.0,791.0,14.0,92.0,10655.0,251.0,1308.0,12214.0,270.0,589.0,21.0,253.0,643.0,523.0,510.0,1204.0,25.0,5645.0,435.0,454.0,765.0,1204.0
2013.0,1335.0,12.0,156.0,2016.0,25.0,102.0,246.0,12.0,81.0,423.0,12.0,101.0,100.0,6.0,26.0,4120.0,67.0,466.0,4653.0,2158.0,41.0,184.0,1335.0,12.0,156.0,460.0,149.0,824.0,6509.0,1389.0,19.0,102.0,149.0
2014.0,2689.0,86.0,221.0,3971.0,66.0,358.0,830.0,17.0,180.0,651.0,19.0,156.0,389.0,12.0,81.0,8530.0,200.0,996.0,9726.0,510.0,1204.0,25.0,768.0,768.0,816.0,231.0,652.0,19.0,432.0,268.0,234.0,546.0,652.0
